City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Kumluca,TR,36.37,30.29,58.48,74,22,4.7,few clouds
150,Aban,RU,56.67,96.06,-30.98,83,0,5.61,clear sky
151,Bilma,NE,18.69,12.92,60.87,30,62,5.5,broken clouds
152,Lavrentiya,RU,65.58,-171.0,18.0,94,98,15.57,overcast clouds
153,Goderich,CA,43.75,-81.72,32.0,90,100,16.11,overcast clouds
154,Gushikawa,JP,26.35,127.87,71.6,83,40,9.17,scattered clouds
155,Nerchinskiy Zavod,RU,51.31,119.61,-30.06,82,18,2.15,few clouds
156,Saskylakh,RU,71.92,114.08,-15.47,87,100,22.97,overcast clouds
157,Mount Gambier,AU,-37.83,140.77,51.8,93,90,4.7,overcast clouds
158,Bud,US,39.45,-86.18,30.2,80,90,11.41,overcast clouds
159,Korla,CN,41.76,86.15,18.48,85,0,4.54,clear sky
160,Ugoofaaru,MV,5.67,73.0,81.82,66,48,7.23,scattered clouds
161,Aykhal,RU,66.0,111.5,-9.4,83,90,8.95,light snow
162,Leningradskiy,RU,69.38,178.42,-12.73,84,1,3.65,clear sky
163,Camana,PE,-16.62,-72.71,73.83,71,97,6.51,heavy intensity rain
164,Manicore,BR,-5.81,-61.3,86.81,65,11,2.01,few clouds
165,Green River,US,41.53,-109.47,15.8,78,90,9.17,overcast clouds
166,Show Low,US,34.25,-110.03,51.8,29,1,33.33,clear sky
167,Bairiki,KI,1.33,172.98,80.6,83,75,11.41,shower rain
168,Carnarvon,AU,-24.87,113.63,78.8,88,31,6.93,scattered clouds
169,Hailun,CN,47.45,126.93,-16.73,86,0,4.21,clear sky
170,Oistins,BB,13.07,-59.53,84.2,74,75,10.29,broken clouds
171,San Felipe,VE,10.34,-68.74,78.37,73,68,7.52,broken clouds
172,Floro,NO,61.6,5.03,44.6,52,100,18.34,overcast clouds
173,Kapaa,US,22.08,-159.32,81.0,74,1,6.87,clear sky
174,Hobyo,SO,5.35,48.53,79.48,78,61,23.64,broken clouds
175,Longyearbyen,SJ,78.22,15.64,28.4,74,75,26.4,light snow
176,Westerland,DE,54.91,8.3,37.4,100,91,6.93,overcast clouds
177,Palmer,US,42.16,-72.33,46.4,65,75,5.82,broken clouds
178,Urengoy,RU,65.97,78.37,-18.38,87,100,17.92,overcast clouds
179,Tessalit,ML,20.2,1.01,62.55,27,10,6.98,clear sky
180,Coos Bay,US,43.37,-124.22,57.99,52,1,4.92,clear sky
181,Santa Maria,BR,-29.68,-53.81,89.6,52,75,11.41,broken clouds
182,Volosovo,RU,59.43,29.48,28.4,74,20,11.18,few clouds
183,Chuy,UY,-33.7,-53.46,72.9,75,16,11.9,few clouds
184,Kirakira,SB,-10.45,161.92,82.49,76,100,0.51,light rain
185,Bogorodskoye,RU,56.55,37.88,8.67,95,29,8.19,scattered clouds
186,Oltu,TR,40.55,42.0,27.82,80,100,6.26,overcast clouds
187,Kudahuvadhoo,MV,2.67,72.89,82.27,73,97,10.63,light rain
188,Manokwari,ID,-0.87,134.08,79.43,74,100,4.43,overcast clouds
189,Nanortalik,GL,60.14,-45.24,30.56,95,100,11.68,light snow
190,Lethem,GY,3.38,-59.8,88.63,52,52,7.05,broken clouds
191,Hermanus,ZA,-34.42,19.23,66.0,77,90,4.27,overcast clouds
192,Skala,PL,50.23,19.85,41.0,65,0,10.29,clear sky
193,Yichun,CN,47.7,128.9,-16.74,86,6,4.65,clear sky
194,Bandarbeyla,SO,9.49,50.81,75.65,86,73,21.21,light rain
195,Dingle,PH,11.0,122.67,74.52,89,1,1.81,light rain
196,Iqaluit,CA,63.75,-68.51,6.8,71,75,19.46,light snow
197,Evensk,RU,61.95,159.23,6.82,83,100,13.31,overcast clouds
198,Margate,GB,51.38,1.39,39.99,89,99,1.99,overcast clouds
199,Ambilobe,MG,-13.2,49.05,75.4,94,100,2.1,overcast clouds
200,Tubuala,PA,9.52,-79.03,84.2,66,40,3.36,scattered clouds
201,Mehamn,NO,71.04,27.85,30.2,73,40,11.41,scattered clouds
202,Drayton Valley,CA,53.22,-114.99,28.56,93,66,6.11,broken clouds
203,Sauce,UY,-34.65,-56.06,82.4,65,20,20.8,few clouds
204,Ouahigouya,BF,13.58,-2.42,73.11,19,0,9.66,clear sky
205,Comodoro Rivadavia,AR,-45.87,-67.5,82.4,32,40,12.75,scattered clouds
206,Juneau,US,58.3,-134.42,37.4,86,90,9.17,overcast clouds
207,Husavik,IS,66.04,-17.34,28.4,63,75,16.11,broken clouds
208,Brasilia De Minas,BR,-16.21,-44.43,73.22,73,76,3.8,broken clouds
209,Saint-Pierre,RE,-21.34,55.48,78.8,69,75,18.34,broken clouds
